<Q-1063841239>	<wasBornOnDate>	"1945-07-03"^^xsd:date
<Q-1477361810>	<wasCreatedOnDate>	"1969-##-##"^^xsd:date
<Q1597810889>	<wasCreatedOnDate>	"1145-##-##"^^xsd:date
<Q-678271547>	<wasCreatedOnDate>	"1998-04-19"^^xsd:date
<Q-2116003219>	<wasBornOnDate>	"1977-06-25"^^xsd:date
<Q-1307617957>	<wasCreatedOnDate>	"1985-##-##"^^xsd:date
<Q1386332883>	<diedOnDate>	"1904-##-##"^^xsd:date
<Q1086271915>	<wasBornOnDate>	"1963-01-18"^^xsd:date
<Q1458534651>	<wasCreatedOnDate>	"1964-01-19"^^xsd:date
<Q235914867>	<wasBornOnDate>	"1981-##-##"^^xsd:date
<Q134942032>	<wasBornOnDate>	"1869-##-##"^^xsd:date
<Q-428380540>	<wasBornOnDate>	"1969-##-##"^^xsd:date
<Q1567464467>	<wasBornOnDate>	"1840-06-05"^^xsd:date
<Q-1369171716>	<wasBornOnDate>	"1966-06-25"^^xsd:date
<Q661865582>	<wasCreatedOnDate>	"1995-12-##"^^xsd:date
<Q461228632>	<wasCreatedOnDate>	"1923-##-##"^^xsd:date
<Q-1687822491>	<wasCreatedOnDate>	"2007-##-##"^^xsd:date
<Q-1272833366>	<wasCreatedOnDate>	"1987-##-##"^^xsd:date
<Q2041129077>	<wasBornOnDate>	"1889-10-12"^^xsd:date
<Q-122899337>	<happenedOnDate>	"1984-##-##"^^xsd:date
<Q1817583010>	<wasCreatedOnDate>	"1981-12-##"^^xsd:date
<Q-446654125>	<wasCreatedOnDate>	"2001-05-08"^^xsd:date
<Q2123936037>	<diedOnDate>	"1896-##-##"^^xsd:date
<Q1020244602>	<wasCreatedOnDate>	"1985-##-##"^^xsd:date
<Q-1594049199>	<wasCreatedOnDate>	"2005-11-18"^^xsd:date
<Q1148496129>	<wasCreatedOnDate>	"2014-04-06"^^xsd:date
<Q-138752159>	<wasBornOnDate>	"1885-##-##"^^xsd:date
<Q-78930316>	<wasBornOnDate>	"1856-##-##"^^xsd:date
<Q149949095>	<happenedOnDate>	"2002-##-##"^^xsd:date
<Q1091192658>	<wasCreatedOnDate>	"1992-10-27"^^xsd:date
<Q9963179>	<diedOnDate>	"1789-##-##"^^xsd:date
<Q332487407>	<wasCreatedOnDate>	"1998-07-05"^^xsd:date
<Q2090858713>	<wasBornOnDate>	"1933-11-29"^^xsd:date
<Q-1444394657>	<wasCreatedOnDate>	"1902-##-##"^^xsd:date
<Q-8399772>	<wasCreatedOnDate>	"2002-05-14"^^xsd:date
<Q-1799158008>	<wasCreatedOnDate>	"2003-##-##"^^xsd:date
<Q-1219082013>	<wasCreatedOnDate>	"1910-##-##"^^xsd:date
<Q1013494769>	<wasCreatedOnDate>	"1995-12-29"^^xsd:date
<Q1324475667>	<wasCreatedOnDate>	"1937-##-##"^^xsd:date
<Q2132671453>	<wasCreatedOnDate>	"1997-##-##"^^xsd:date
<Q1598269341>	<wasCreatedOnDate>	"2007-09-18"^^xsd:date
<Q-138752159>	<diedOnDate>	"1982-##-##"^^xsd:date
<Q786731301>	<wasCreatedOnDate>	"1999-##-##"^^xsd:date
<Q1980432726>	<wasBornOnDate>	"1985-12-03"^^xsd:date
<Q1313370518>	<wasCreatedOnDate>	"2003-08-##"^^xsd:date
<Q-1018063256>	<wasCreatedOnDate>	"2007-09-##"^^xsd:date
<Q-1140699890>	<wasBornOnDate>	"1952-01-15"^^xsd:date
<Q-1223700480>	<diedOnDate>	"1923-04-04"^^xsd:date
<Q1539742783>	<wasCreatedOnDate>	"2008-03-27"^^xsd:date
<Q-1944688065>	<wasCreatedOnDate>	"1980-01-20"^^xsd:date
<Q37935909>	<wasCreatedOnDate>	"1982-03-05"^^xsd:date
<Q-1623789785>	<wasBornOnDate>	"1932-11-06"^^xsd:date
<Q-887799433>	<wasCreatedOnDate>	"1943-04-02"^^xsd:date
<Q1906652860>	<wasCreatedOnDate>	"1982-##-##"^^xsd:date
<Q957206181>	<wasCreatedOnDate>	"1886-##-##"^^xsd:date
<Q1232021697>	<wasCreatedOnDate>	"1955-##-##"^^xsd:date
<Q86131010>	<wasCreatedOnDate>	"2009-07-09"^^xsd:date
<Q1218825736>	<wasCreatedOnDate>	"1983-03-21"^^xsd:date
