Science	none
Pacific Ocean	body of water
Army	military
Wales	state
Time	none
Shovel	tool
Seam ripper	cutting tool
Physical change	change
Bath	thing
Ziggy Stardust	fictional character
Terry Gilliam	American-born cartoonist
Belize	country
President of Russia	political leader
Hillary Rodham Clinton	junior United States Senator
Ilia	prefectures
Georges Brassens	french singer
Edip Yuksel	student
Hodgenville, Kentucky	town
AC/DC	hard rock band
Insomnia	none
São Tomé and Príncipe	small island nation
Disney Channel	cable television network
North and South	novel
Loreto Region	northern region
Tropical cyclone	circle shaped weather
Bismuth	metal
Pinocchio	made up story person
Wallonia	French-speaking region
Phylum	second highest rank
Chipmunk	small squirrel-like rodent
Mollusc	invertebrate animals
Isthmus	narrow strip of land
Ritual	set of actions
John the Apostle	apostles
Elle Macpherson	Australian supermodel
Kookaburra Sport	Australian company
Cable television	none
Alkmene	person
Medusa (animal)	animals
Haiphong	city
Crown-of-thorns starfish	sea star
Pacific Islands	islands
Kampala	capital
Vaquita	Vaquita  porpoise
Mud	mixture
Sondrio	city
Jons Jacob Berzelius	Swedish chemist
Composition	none
Western Digital	company
K2	second highest mountain
Gran Colombia	country
My Belarusy	official national anthem
Great Fire of London	tragedy
Spike Spiegel	main character
Nu metal	metal music
Orange (fruit)	citrus fruit
List of Pterosaurs	none
Toaster	machine
Moat	body of water
Alex Trebek	Canadian-American television game show host
Smash (album)	successful albums
Shanty town	small towns
Arthur de Gobineau	French aristocrat
Ledger line	short line
Pellagra	disease.
Nagamaki	Nagamaki Japanese pole weapon
Artillery	big guns
Scone, Perth and Kinross	town
Cerulean	range of colours
Nakhodka	port city
Paul Stanley (album)	solo album
Joachim Löw	former German footballer
Communication Studies	area of study
2029	common year
Bruges	city
John Collins	Scottish footballer.
Lusaka	capital
Piston	lubricated sliding shaft
Manny Gamburyan	mixed martial artist
Petros Duryan	Armenian poet
Onyx	rock mineral.
Thunderstorm	weather system
Guwahati	largest city
Hadith	report
Hanami	Japanese traditional custom
Magnetosphere	region
Thebes, Greece	city
Elegance	attribute
General Motors railway station, Melbourne	railway station
Escopetarra	guitar
1998 Winter Olympics	none
Hittites	ancient people
MotorStorm	racing video game
Doris Lessing	British writer
