<Dick_Hall_(soccer)>	<wasBornOnDate>	"1945-07-03"^^xsd:date
<Area_(journal)>	<wasCreatedOnDate>	"1969-##-##"^^xsd:date
<Woburn_Abbey>	<wasCreatedOnDate>	"1145-##-##"^^xsd:date
<Brave_New_World_(1998_film)>	<wasCreatedOnDate>	"1998-04-19"^^xsd:date
<Layla_El>	<wasBornOnDate>	"1977-06-25"^^xsd:date
<Communist_Party_of_Germany_(Roter_Morgen)>	<wasCreatedOnDate>	"1985-##-##"^^xsd:date
<Kate_Lee>	<diedOnDate>	"1904-##-##"^^xsd:date
<Stephen_Conroy>	<wasBornOnDate>	"1963-01-18"^^xsd:date
<Strait-Jacket>	<wasCreatedOnDate>	"1964-01-19"^^xsd:date
<Billy_Martin_(guitarist)>	<wasBornOnDate>	"1981-##-##"^^xsd:date
<Walter_Reed_(Canadian_politician)>	<wasBornOnDate>	"1869-##-##"^^xsd:date
<Karel_Dobrý>	<wasBornOnDate>	"1969-##-##"^^xsd:date
<John_Dryden_(MLA)>	<wasBornOnDate>	"1840-06-05"^^xsd:date
<Dikembe_Mutombo>	<wasBornOnDate>	"1966-06-25"^^xsd:date
<Spoke_(album)>	<wasCreatedOnDate>	"1995-12-##"^^xsd:date
<Assiniboine>	<wasCreatedOnDate>	"1923-##-##"^^xsd:date
<Bonsai_(software)>	<wasCreatedOnDate>	"2007-##-##"^^xsd:date
<Star_Wreck_(video_game)>	<wasCreatedOnDate>	"1987-##-##"^^xsd:date
<Perle_Mesta>	<wasBornOnDate>	"1889-10-12"^^xsd:date
<Kaiser_(video_game)>	<happenedOnDate>	"1984-##-##"^^xsd:date
<Third_Avenue>	<wasCreatedOnDate>	"1981-12-##"^^xsd:date
<Vertigo_(Jump,_Little_Children_album)>	<wasCreatedOnDate>	"2001-05-08"^^xsd:date
<John_Bryson_(Canadian_politician)>	<diedOnDate>	"1896-##-##"^^xsd:date
<National_Congress_of_the_Canaries>	<wasCreatedOnDate>	"1985-##-##"^^xsd:date
<Pink_(Boris_album)>	<wasCreatedOnDate>	"2005-11-18"^^xsd:date
<Silicon_Valley_(TV_series)>	<wasCreatedOnDate>	"2014-04-06"^^xsd:date
<Albert_Karasu>	<wasBornOnDate>	"1885-##-##"^^xsd:date
<William_Mackenzie_Davidson>	<wasBornOnDate>	"1856-##-##"^^xsd:date
<Donald_Trump's_Real_Estate_Tycoon>	<happenedOnDate>	"2002-##-##"^^xsd:date
<Great_Egg_Harbor_River>	<wasCreatedOnDate>	"1992-10-27"^^xsd:date
<William_Selby>	<diedOnDate>	"1789-##-##"^^xsd:date
<Big_Bang_Theory_(Harem_Scarem_album)>	<wasCreatedOnDate>	"1998-07-05"^^xsd:date
<Andrew_Kerr_(festival_co-founder)>	<wasBornOnDate>	"1933-11-29"^^xsd:date
<Queen_Alexandra_Hospital,_Hobart>	<wasCreatedOnDate>	"1902-##-##"^^xsd:date
<The_5ifth_Column>	<wasCreatedOnDate>	"2002-05-14"^^xsd:date
<You_Gotta_Quintet>	<wasCreatedOnDate>	"2003-##-##"^^xsd:date
<Kew_Gardens_(LIRR_station)>	<wasCreatedOnDate>	"1910-##-##"^^xsd:date
<Richard_III_(1995_film)>	<wasCreatedOnDate>	"1995-12-29"^^xsd:date
<Devdas_(1937_film)>	<wasCreatedOnDate>	"1937-##-##"^^xsd:date
<Amulet_(song)>	<wasCreatedOnDate>	"1997-##-##"^^xsd:date
<Baby_Love_(Nicole_Scherzinger_song)>	<wasCreatedOnDate>	"2007-09-18"^^xsd:date
